Reaction,Tinit_NHBE_H,Gimme_NHBE_H,iMAT_NHBE_H,init_NHBE_H,Tinit_A549_H,Gimme_A549_H,iMAT_A549_H,init_A549_H,Tinit_293T_H,Gimme_293T_H,iMAT_293T_H,init_293T_H,Tinit_Lung_H,Gimme_Lung_H,iMAT_Lung_H,init_Lung_H,Tinit_CALU_H,Gimme_CALU_H,iMAT_CALU_H,init_CALU_H,Tinit_NHBE_I,Gimme_NHBE_I,iMAT_NHBE_I,init_NHBE_I,Tinit_A549_I,Gimme_A549_I,iMAT_A549_I,init_A549_I,Tinit_293T_I,Gimme_293T_I,iMAT_293T_I,init_293T_I,Tinit_Lung_I,Gimme_Lung_I,iMAT_Lung_I,init_Lung_I,Tinit_CALU_I,Gimme_CALU_I,iMAT_CALU_I,init_CALU_I
3BCRNtr,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
3DDCRNtr,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0
3DECCRNtr,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
3DHCDCHOLabc,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
3DHCDCHOLt,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
3DHCHOLabc,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
3DHCHOLt,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
3DHDCAabc,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
3DHDCAt,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
3DHLCAabc,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
3DHLCAt,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
3DPHBH1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
